iter	Passed	Remaining
467	728	827
468	729	825
469	730	824
470	731	822
471	733	820
472	734	818
473	735	816
474	737	815
475	738	813
476	740	811
477	741	809
478	742	807
479	743	805
480	745	803
481	746	801
482	747	799
483	748	798
484	749	796
485	751	794
486	752	792
487	753	791
488	755	789
489	756	787
490	757	785
491	758	783
492	760	781
493	761	779
494	762	777
495	763	775
496	764	774
497	766	772
498	767	770
499	768	768
500	769	766
501	771	764
502	772	763
503	773	761
504	774	759
505	775	757
506	777	755
507	778	753
508	779	752
509	780	750
510	782	748
511	783	746
512	784	745
513	786	743
514	787	742
515	789	740
516	790	738
517	792	737
518	793	735
519	794	733
520	795	731
521	796	729
522	797	727
523	798	725
524	800	723
525	801	722
526	802	720
527	803	718
528	804	716
529	806	714
530	807	712
531	808	711
532	809	709
533	810	707
534	811	705
535	813	704
536	814	702
537	815	700
538	816	698
539	818	696
540	819	695
541	820	693
542	821	691
543	822	689
544	823	687
545	824	685
546	826	684
547	827	682
548	829	681
549	830	679
550	831	677
551	832	675
552	833	674
553	835	672
554	836	671
555	838	669
556	839	667
557	840	665
558	842	664
559	843	662
560	844	661
561	845	659
562	847	657
563	848	656
564	850	654
565	851	652
566	852	651
567	853	649
568	855	647
569	856	646
570	857	644
571	859	643
572	860	641
573	861	639
574	862	637
575	863	635
576	864	634
577	865	632
578	867	630
579	868	628
580	869	626
581	871	625
582	872	623
583	873	622
584	874	620
585	876	618
586	877	617
587	878	615
588	879	613
589	881	612
590	882	610
591	883	609
592	884	607
593	886	605
594	887	603
595	888	602
596	889	600
597	890	598
598	891	596
599	892	595
600	893	593
601	894	591
602	895	589
603	897	588
604	898	586
605	899	584
606	900	583
607	901	581
608	902	579
609	903	577
610	905	576
611	906	574
612	907	572
613	908	571
614	909	569
615	910	567
616	911	566
617	912	564
618	914	562
619	915	561
620	917	559
621	918	558
622	919	556
623	920	554
624	921	553
625	922	551
626	923	549
627	925	547
628	926	546
629	927	544
630	928	542
631	929	541
632	930	539
633	931	538
634	933	536
635	934	534
636	935	533
637	936	531
638	937	529
639	939	528
640	940	526
641	941	524
642	942	523
643	943	521
644	944	519
645	945	518
646	947	516
647	948	515
648	949	513
649	950	511
650	951	510
651	952	508
652	954	507
653	955	505
654	956	503
655	957	502
656	958	500
657	960	499
658	961	497
659	962	495
660	963	494
661	964	492
662	965	490
663	967	489
664	968	487
665	969	486
666	970	484
667	971	482
668	972	481
669	974	479
670	975	478
671	976	476
672	977	475
673	978	473
674	979	471
675	981	470
676	982	468
677	983	467
678	984	465
679	985	463
680	986	462
681	987	460
682	988	458
683	990	457
684	992	456
685	993	454
686	994	453
687	995	451
688	997	450
689	999	448
690	1000	447
691	1001	445
692	1002	444
693	1004	442
694	1005	441
695	1006	439
696	1007	438
697	1008	436
698	1009	434
699	1011	433
700	1012	431
701	1014	430
702	1015	428
703	1016	427
704	1017	425
705	1018	424
706	1019	422
707	1020	421
708	1022	419
709	1023	417
710	1024	416
711	1025	414
712	1026	413
713	1028	411
714	1029	410
715	1030	408
716	1031	407
717	1032	405
718	1033	404
719	1035	402
720	1036	400
721	1037	399
722	1038	397
723	1039	396
724	1040	394
725	1041	393
726	1042	391
727	1044	390
728	1045	388
729	1046	387
730	1048	385
731	1049	384
732	1050	382
733	1051	381
734	1052	379
735	1053	378
736	1054	376
737	1056	374
738	1057	373
739	1058	371
740	1059	370
741	1060	368
742	1062	367
743	1063	365
744	1064	364
745	1065	362
746	1066	361
